,"PBI_Role_List","BIM_Role","Exact_role 2017","Unprecise_role 2017","Exact_role 2018","Unprecise_role 2018","Perc","note","Column1"
19,"003.DESARROLLADOR BIM","DESARROLLADOR BIM",1,22,2,47,60,0,3
11,"009.BIM TECHNICIAN","BIM TECHNICIAN",41,63,40,101,0,0,9
"dEMAN","001.BIM SUPPORT","BIM SUPPORT",1,65,5,22,190,0,1
18,"002.SOPORTE TÉCNICO BIM","SOPORTE TÉCNICO BIM",1,110,1,51,190,0,2
6,"014.BIM MODELER","BIM MODELER",103,166,116,140,620,0,14
13,"005.BIM DEVELOPER","BIM DEVELOPER",6,15,4,23,60,0,5
3,"017.BIM ARCHITECT","BIM ARCHITECT",224,322,222,506,440,0,17
14,"006.DISEÑADOR BIM","DISEÑADOR BIM",6,359,18,340,0,0,6
9,"011.BIM COORDINATOR","BIM COORDINATOR",63,407,112,177,120,0,11
16,"004.BIM STRUCTURES","BIM STRUCTURES",3,612,3,896,145,0,4
10,"010.COORDINADOR BIM","COORDINADOR BIM",46,744,54,138,120,0,10
15,"007.INGENIERO BIM","INGENIERO BIM",6,745,10,1321,525,0,7
8,"012.ESPECIALISTA BIM","ESPECIALISTA BIM",70,833,58,221,0,0,12
5,"015.MODELADOR BIM","MODELADOR BIM",143,933,144,234,620,0,15
7,"013.BIM MEP","BIM MEP",90,1276,146,1838,365,0,13
12,"008.BIM ESTRUCTURAS","ESTRUCTURAS BIM",15,1815,34,2549,145,0,8
4,"016.TÉCNICO BIM","TÉCNICO BIM",191,2330,234,3370,0,0,16
1,"019.BIM MANAGER","BIM MANAGER",949,2616,471,679,170,0,19
2,"018.ARQUITECTO BIM","ARQUITECTO BIM",310,4133,501,4148,440,0,18
2,"CONSULTOR BIM","CONSULTOR BIM",0,0,82,460,40,0,0
2,"Delineante BIM","Delineante BIM",0,0,51,1655,0,0,0
2,"BIM","BIM",8154,8154,11427,11427,0,0,0
