TÉRMINOS DE BÚSQUEDA EN LINKEDIN,Column2,BÚSQUEDA EXACTA,BÚSQUEDA NO EXACTA,Column1
020.BIM,BIM,8154,8154,20
019.BIM MANAGER,BIM MANAGER,949,2616,19
018.ARQUITECTO BIM,ARQUITECTO BIM,310,4133,18
017.BIM ARCHITECT,BIM ARCHITECT,224,322,17
016.TÉCNICO BIM,TÉCNICO BIM,191,2330,16
015.MODELADOR BIM,MODELADOR BIM,143,933,15
014.BIM MODELER,BIM MODELER,103,166,14
013.BIM MEP,BIM MEP,90,1276,13
012.ESPECIALISTA BIM,ESPECIALISTA BIM,70,833,12
011.BIM COORDINATOR,BIM COORDINATOR,63,407,11
010.COORDINADOR BIM,COORDINADOR BIM,46,744,10
009.BIM TECHNICIAN,BIM TECHNICIAN,41,63,9
008.BIM ESTRUCTURAS,BIM ESTRUCTURAS,15,1815,8
005.BIM DEVELOPER,BIM DEVELOPER,6,169,5
006.DISEÑADOR BIM,DISEÑADOR BIM,6,359,6
007.INGENIERO BIM,INGENIERO BIM,6,745,7
004.BIM STRUCTURES,BIM STRUCTURES,3,612,4
001.BIM SUPPORT,BIM SUPPORT,1,65,1
002.SOPORTE TÉCNICO BIM,SOPORTE TÉCNICO BIM,1,110,2
003.DESARROLLADOR BIM,DESARROLLADOR BIM,1,22,3
